Condition,Model,Yoruba Proverb,Gold Translation,Generated Translation
ZeroShot,GPT,"A kì í fi ìka ro etí, ká fi ro imú, ká wá tún fi ta ehín.","One does not use one's finger to clean one's ear passages, use it to pick one's nose, and then use it to pick one's teeth.","The Yoruba proverb ""A kì í fi ìka ro etí, ká fi ro imú, ká wá tún fi ta ehín"" translates to English as ""One does not use a finger to measure the ear, then use it to measure the nose, and then use it to count the teeth."" This proverb suggests that it is inappropriate or ineffective to use the same approach or method for different situations or tasks, as each requires its own specific consideration or tool."
ZeroShot,GPT,"Ṣàkì ńṣe bí ọ̀rá, egungun ńṣe bí ẹran.",The tripe presents itself as fat; the bone presents itself as meat.,"The Yoruba proverb ""Ṣàkì ńṣe bí ọ̀rá, egungun ńṣe bí ẹran"" translates to ""The sack behaves like a load, the bone behaves like meat"" in English. This proverb suggests that appearances can be deceiving, and things are not always what they seem."
ZeroShot,GPT,Ọ̀yájú-u baálé ní ńpàdé ìbòsí lọ́nà.,It is a reckless home owner who is met with alarms when he ventures outside.,"The Yoruba proverb ""Ọ̀yájú-u baálé ní ńpàdé ìbòsí lọ́nà"" translates to ""A disrespectful head of the household encounters disgrace on the way"" in English. This proverb suggests that a leader or person in authority who lacks respect or humility will eventually face shame or dishonor."
ZeroShot,GPT,Àgbàlagbà tí ò kí Ààrẹ ńfi okùn sin ara-a rẹ̀.,An elder who does not greet the Ààrẹ tries a “hanging” rope for size.,"The Yoruba proverb ""Àgbàlagbà tí ò kí Ààrẹ ńfi okùn sin ara-a rẹ̀"" translates to English as ""An elder who does not greet the president is digging his own grave."" This proverb suggests that showing respect to those in authority or higher positions is important, and failing to do so can lead to negative consequences for oneself."
ZeroShot,GPT,"Àì-lápá làdá ò mú; bí a bá lápá, ọmọ owú to-o gégi.",It is a deficiency of biceps that blunts the machete; if one has strong biceps one can cut trees with a cudgel.,"The Yoruba proverb ""Àì-lápá làdá ò mú; bí a bá lápá, ọmọ owú to-o gégi"" can be translated into English as: ""Without effort, the axe cannot cut; if we exert effort, even a cotton child can cut wood."" This proverb emphasizes the importance of effort and hard work in achieving results, suggesting that with determination and effort, even seemingly difficult tasks can be accomplished."
ZeroShot,GPT,Ibi tí a fi ara sí lara ńgbé.,"Wherever one situates the body, there it inhabits.","The Yoruba proverb ""Ibi tí a fi ara sí lara ńgbé"" translates to ""Where one places oneself is where one will find comfort"" in English. This proverb suggests that the choices we make about where we position ourselves in life determine our comfort and well-being."
ZeroShot,GPT,"Bí ìlàrí bá fẹ́ tẹ́, a ní kí lọba ó ṣe?","When a courtier seeks disgrace, he asks, “What can the king do?”","The Yoruba proverb ""Bí ìlàrí bá fẹ́ tẹ́, a ní kí lọba ó ṣe?"" translates to English as ""If the royal messenger wants to fail, what can the king do?"" This proverb suggests that when someone in a position of responsibility or trust decides to fail or not fulfill their duties, there is little that those in higher authority can do to prevent it. It highlights the importance of personal responsibility and integrity."
ZeroShot,GPT,Àfi ohun tí a kì í tà lọ́jà lẹrú kì í jẹ.,The only thing a slave cannot eat is something not available in the market.,"The Yoruba proverb ""Àfi ohun tí a kì í tà lọ́jà lẹrú kì í jẹ"" translates to English as ""A slave does not eat what is not sold in the market."" This proverb suggests that one should not indulge in or take advantage of things that are not meant for them or that are not available to them. It emphasizes the importance of knowing one's place and respecting boundaries."
ZeroShot,GPT,Àṣá kì í rà kádìẹ gbé kòkòrò dání.,"When a kite hovers, a chicken does not hang on to an insect.","The Yoruba proverb ""Àṣá kì í rà kádìẹ gbé kòkòrò dání"" translates to ""The hawk does not carry a chick while holding an insect."" This proverb suggests that one cannot handle two tasks or responsibilities at the same time effectively, emphasizing the importance of focusing on one thing at a time."
ZeroShot,GPT,"Ká wí ogún, ká wí ọgbọ̀n, “Ng ò fẹ́, ng ò gbà” laṣiwèré fi ńpẹ̀kun ọ̀ràn.","Whether one speaks twenty times or speaks thirty times, “I do not like it, and I will not accept it” is how the imbecile ends the discussion.","The Yoruba proverb ""Ká wí ogún, ká wí ọgbọ̀n, “Ng ò fẹ́, ng ò gbà” laṣiwèré fi ńpẹ̀kun ọ̀ràn"" translates to English as: ""After discussing strategies and wisdom, it is 'I don't want, I won't accept' that a fool uses to end a matter."" This proverb suggests that a foolish person often dismisses wise counsel or solutions, choosing instead to reject them outright."
ZeroShot,GPT,Ẹni tí a fẹ́ yàtọ̀ sí ẹni tó ní kò sí irú òun.,A person one loves is different from a person who says there is no one like him/herself.,"The Yoruba proverb ""Ẹni tí a fẹ́ yàtọ̀ sí ẹni tó ní kò sí irú òun"" translates to English as ""The person we love is different from the one who claims there is no one like them."" This proverb suggests that the qualities we value in someone we love may not necessarily align with self-perceived uniqueness or superiority."
ZeroShot,GPT,Àgùnbánirọ̀ ní ńfojúdini.,It is the person taller than another who shows no respect for the other.,"The Yoruba proverb ""Àgùnbánirọ̀ ní ńfojúdini"" can be translated into English as ""A person who is deceitful will eventually be exposed."" This proverb suggests that deceitful actions or intentions will ultimately come to light."
ZeroShot,GPT,"Ìtàkùn tó tó ọ̀pẹ kò tó pé kérin má lọ; ìtàkùn tó pé kérin má lọ Àlọ́, tòun terin ní ńlọ.",A vine as thick as a palm-tree trunk will not stop an elephant; whatever vine attempts to stop an elephant from going to Alọ will go with the elephant instead.,"The Yoruba proverb ""Ìtàkùn tó tó ọ̀pẹ kò tó pé kérin má lọ; ìtàkùn tó pé kérin má lọ Àlọ́, tòun terin ní ńlọ"" can be translated into English as: ""A rope that is long enough to tie a palm tree is not necessarily strong enough to restrain a horse; a rope that can restrain a horse is the one that is strong and durable."" 

This proverb emphasizes the idea that suitability and strength are not just about size or length, but about the right qualities for the task at hand."
ZeroShot,GPT,"Bí a bá ńgúnyán, kòmẹsẹ̀ á yọ.","If one prepares pounded yams, the uninvited should depart.","The Yoruba proverb ""Bí a bá ńgúnyán, kòmẹsẹ̀ á yọ"" translates to ""When pounding yam, the toes must get smeared."" This proverb suggests that when you are involved in a task, especially one that is messy or challenging, it is inevitable that you will get involved or affected by it in some way."
ZeroShot,GPT,Ọmọ àì-jọbẹ̀-rí tí ńja epo sáyà.,A child new to eating stews: he shows himself by dripping palm-oil on his chest.,"The Yoruba proverb ""Ọmọ àì-jọbẹ̀-rí tí ńja epo sáyà"" translates to ""A child who has never tasted soup is scooping oil into their pocket"" in English. This proverb is often used to describe someone who is inexperienced or unfamiliar with something but is acting in a way that shows a lack of understanding or appreciation."
ZeroShot,GPT,Kì í dọwọ́-ọ baba kó ló di ọwọ́ ọmọ.,Responsibility does not devolve on the father only for him to say it is his son's duty.,"The Yoruba proverb ""Kì í dọwọ́-ọ baba kó ló di ọwọ́ ọmọ"" translates to ""A father's hand does not become a child's hand"" in English. This proverb suggests that the responsibilities, roles, or characteristics of a father cannot simply be transferred to a child. It emphasizes the distinction between generations and the unique roles each person plays."
ZeroShot,GPT,"Ó yẹ ẹni gbogbo kó dínwó aró, kò yẹ atọ̀ọ́lé.","It is fitting for everybody to bargain to reduce the cost of dyeing clothes, but not the bed wetter.","The Yoruba proverb ""Ó yẹ ẹni gbogbo kó dínwó aró, kò yẹ atọ̀ọ́lé"" translates to English as ""It is appropriate for everyone to show some restraint in mourning, but not for the one who has suffered the loss."" This proverb suggests that while it is important for people to express sympathy and support, the depth of grief is most profound for the person directly affected by the loss."
ZeroShot,GPT,Ìbàjẹ́ ọjọ́ kan ò tán bọ̀rọ̀.,The disgrace one incurs in one day does not disappear that soon.,"The Yoruba proverb ""Ìbàjẹ́ ọjọ́ kan ò tán bọ̀rọ̀"" translates to ""The damage of one day does not ruin a lifetime"" in English. This proverb suggests that a single setback or mistake does not determine one's entire future or life."
ZeroShot,GPT,"Ibi tí a ti ńpìtàn ká tó jogún, ká mọ̀ pé ogún ibẹ̀ ò kanni.","Where one must recite genealogies in order to establish one's claim to inheritance, one should know that one really has no claim to patrimony there.","The Yoruba proverb ""Ibi tí a ti ńpìtàn ká tó jogún, ká mọ̀ pé ogún ibẹ̀ ò kanni"" translates to English as: ""Where stories are being told before inheritance, it is important to know that the inheritance is not significant."" This proverb suggests that when there is a lot of discussion or storytelling before receiving an inheritance, it might indicate that the inheritance itself is not substantial or valuable."
ZeroShot,GPT,"Bí baálẹ̀-ẹ́ bá ńtàkìtì, òrógi là ḿbá ẹmẹsẹ̀.","If the chief is turning somersaults, the messenger should be found standing erect.","The Yoruba proverb ""Bí baálẹ̀-ẹ́ bá ńtàkìtì, òrógi là ḿbá ẹmẹsẹ̀"" can be translated into English as: ""If the head of the household is struggling, the junior ones should carry firewood."" This proverb suggests that when a leader or someone in charge is facing difficulties, it is important for others, especially subordinates or younger ones, to step up and support by taking on responsibilities."
ZeroShot,GPT,Afínjú wọ ọjà ó rìn gbẹndẹ́kẹ ọ̀bún wọ ọjà ó rìn ṣùẹ̀ṣùẹ̀; ọ̀bùn ní ó ru ẹrù afínjú relé.,The fashionable person enters the market and walks in a leisurely manner; the filthy person enters the market and walks in a sluggish manner; it is the filthy person that will carry the fashionable person's load to the house for him or her.,"The Yoruba proverb ""Afínjú wọ ọjà ó rìn gbẹndẹ́kẹ ọ̀bún wọ ọjà ó rìn ṣùẹ̀ṣùẹ̀; ọ̀bùn ní ó ru ẹrù afínjú relé"" can be translated into English as: ""The dandy walks briskly in the market, while the slovenly person walks sluggishly; yet it is the slovenly person who helps carry the dandy's load home."" 

This proverb highlights the idea that appearances can be deceiving, and those who may seem less capable or impressive can often be the ones who provide real support or assistance."
ZeroShot,GPT,"Aáyán ati eèràá ṣígun, wọ́n ní àwọ́n ńlọ mú adìẹ àlọ la rí, a ò rábọ̀.","Cockroach and ant make ready for war and say they are off to capture chicken; we see their departure, but not their return.","The Yoruba proverb ""Aáyán ati eèràá ṣígun, wọ́n ní àwọ́n ńlọ mú adìẹ àlọ la rí, a ò rábọ̀"" can be translated into English as: ""The maggot and the ant are digging, they claim they are going to catch a runaway chicken, but we haven't seen the evidence."" This proverb suggests skepticism about someone's claims or intentions, especially when there is no evidence to support them."
ZeroShot,GPT,Ẹlẹ́dẹ̀ ò mẹ̀yẹ.,A pig does not know what is becoming.,"The Yoruba proverb ""Ẹlẹdẹ ò mẹyẹ"" translates to ""The pig is not praiseworthy"" in English. This proverb is often used to convey the idea that certain behaviors or characteristics are inherently unworthy of praise or admiration, regardless of the context."
ZeroShot,GPT,"Ẹ̀wọ̀n tó tó ọ̀pẹ ò tó-ó dá erin dúró; ìtàkùn tó ní kí erin má ròkè ọ̀dàn, tòun terin ní ńlọ.",A chain as thick as a palm-tree cannot stop an elephant; the vine that proposes to stop the elephant from going to the grassland will go with the elephant.,"The Yoruba proverb ""Ẹ̀wọ̀n tó tó ọ̀pẹ ò tó-ó dá erin dúró; ìtàkùn tó ní kí erin má ròkè ọ̀dàn, tòun terin ní ńlọ"" can be translated into English as: ""The rope that is strong enough to tie a palm tree is not strong enough to stop an elephant; the tether that tells the elephant not to climb the savannah hill, the elephant says it is going there."" 

This proverb suggests that some challenges or obstacles are not sufficient to deter someone or something determined to pursue their path. It highlights the idea of resilience and determination in the face of limitations."
ZeroShot,GPT,"Àfòpiná tó ní òun ó pa fìtílà, ara ẹ̀ ni yó pa.",The moth that attempts to kill (put out) the oil lamp will kill itself.,"The Yoruba proverb ""Àfòpiná tó ní òun ó pa fìtílà, ara ẹ̀ ni yó pa"" translates to ""The extinguisher that says it will put out the lamp will extinguish itself."" This proverb suggests that someone who seeks to harm others may end up harming themselves instead."
ZeroShot,GPT,"Àgbàlagbà akàn tó kó sí garawa yègèdè, ojú tì í.",The elderly crab that enters into a bucket; it is thoroughly disgraced.,"The Yoruba proverb ""Àgbàlagbà akàn tó kó sí garawa yègèdè, ojú tì í"" can be translated into English as: ""An old crab that is put into a wide container feels ashamed."" This proverb suggests that someone who is experienced or mature may feel embarrassed or out of place when they find themselves in a situation that exposes their limitations or inadequacies."
ZeroShot,GPT,A pè ọ́ lọ́mọ erín-màgbọn ò ńyọ̀; ìwọ pàápàá ló mì í?,"You are described as the child of the elephant that swallows coconuts, and you rejoice; are you the one who swallows coconuts?","The Yoruba proverb ""A pè ọ́ lọ́mọ erín-màgbọn ò ńyọ̀; ìwọ pàápàá ló mì í?"" can be translated into English as: ""We called you the child of a laughing hyena, and you are smiling; are you the one we are referring to?"" 

This proverb is often used to caution someone who is reacting to a statement or situation that may not necessarily be about them, suggesting that they might be revealing their own guilt or involvement."
ZeroShot,GPT,Olówó ní ḿbá ọlọ́rọ̀-ọ́ rìn; ẹgbẹ́ ní ḿbá ẹgbẹ́ ṣeré.,It is a rich person that keeps company with a wealthy person; only people of equal standing play together.,"The Yoruba proverb ""Olówó ní ḿbá ọlọ́rọ̀-ọ́ rìn; ẹgbẹ́ ní ḿbá ẹgbẹ́ ṣeré"" translates to English as ""The wealthy walk with the rich; peers play with peers."" This proverb suggests that people tend to associate with others who are similar to them in status or circumstances."
ZeroShot,GPT,Kí ẹrú mọ ara ẹ̀ lẹ́rú; kí ìwọ̀fà mọ ara ẹ̀ níwọ̀fà; kí ọmọlúwàbí mọ ara ẹ̀ lẹ́rú Ọlọ́run ọba.,Let the slave know him/herself as a slave; let the pawn know him/herself as a pawn; let the well born person know him/herself as the child of God.,"The Yoruba proverb translates to English as: ""Let the servant know themselves as a servant; let the apprentice know themselves as an apprentice; let a person of good character know themselves as a servant of God, the King."""
ZeroShot,GPT,A kì í gbọ́n ju ẹni tí a máa dÍfá fún.,One cannot be wiser than the person for whom one will consult the Ifá oracle.,"The Yoruba proverb ""A kì í gbọ́n ju ẹni tí a máa dÍfá fún"" translates to ""One cannot be wiser than the person for whom divination is being performed"" in English. This proverb suggests that the person seeking guidance or insight (through divination, in this context) is the one who ultimately benefits from the wisdom or knowledge being sought."
ZeroShot,GPT,Kí ni wọ́n ti ńṣe Àmọ́dù nÍlọrin? Ewúrẹ́ ńjẹ́ bẹ́ẹ̀.,What use do the people of Ilorin have for Ahmadu? Even goats are so named.,"The Yoruba proverb ""Kí ni wọ́n ti ńṣe Àmọ́dù nÍlọrin? Ewúrẹ́ ńjẹ́ bẹ́ẹ̀."" translates to English as ""What is Àmọdù doing in Ilorin? A goat is eating there."" This proverb is often used to imply that someone is in a place or situation for a specific reason or benefit, often one that is obvious or self-serving."
ZeroShot,GPT,A-dá-má-lè-ṣe àdàbà tí ńdún bẹ̀m̀bẹ̀.,Start-something-it-cannot-finish dove that makes bombastic noises.,"The Yoruba proverb ""A-dá-má-lè-ṣe àdàbà tí ńdún bẹ̀m̀bẹ̀"" can be translated into English as ""One who claims to be gentle like a dove but makes a lot of noise."" This proverb is often used to describe someone who pretends to be calm and peaceful but is actually disruptive or troublesome."
ZeroShot,GPT,A-lu-dùndún kì í dárin.,The dùndún player does not lead a song.,"The Yoruba proverb ""A-lu-dùndún kì í dárin"" translates to ""One who plays the dundun drum does not dance"" in English. This proverb suggests that a person who is responsible for a particular task or role may not be able to participate in other activities simultaneously. It highlights the idea of focusing on one's responsibilities."
ZeroShot,GPT,Aláṣọ-kan kì í ná ànárẹ.,A person who has only one set of clothing does not bargain until he is wet.,"The Yoruba proverb ""Aláṣọ-kan kì í ná ànárẹ"" translates to ""A person with only one cloth does not go near the fire"" in English. This proverb suggests that one should avoid taking unnecessary risks, especially when they have limited resources or options."
ZeroShot,GPT,Ọjọ́ àgbà-á kú sàn ju ọjọ́ àgbà-á tẹ́.,The day an elder dies is far better than the day an elder is disgraced.,"The Yoruba proverb ""Ọjọ́ àgbà-á kú sàn ju ọjọ́ àgbà-á tẹ́"" translates to ""The day an elder dies is better than the day an elder falls into disgrace"" in English. This proverb emphasizes the value of maintaining dignity and honor throughout one's life."
ZeroShot,GPT,Ẹyẹ ò lè rí omi inú àgbọn bù mu.,A bird cannot get at the liquid inside a coconut to drink.,"The Yoruba proverb ""Ẹyẹ ò lè rí omi inú àgbọn bù mu"" translates to ""A bird cannot drink the water inside a coconut"" in English. This proverb suggests that some things are beyond one's reach or capability, no matter how much one desires them."
ZeroShot,GPT,“Mo mọ̀-ọ́ tán” lOrò-ó fi ńgbé ọkùnrin.,“I know it all” is the reason for Orò's carrying a man away.,"The Yoruba proverb ""“Mo mọ̀-ọ́ tán” lOrò-ó fi ńgbé ọkùnrin"" translates to ""The phrase 'I know it all' is what ruins a man"" in English. This proverb warns against the dangers of arrogance and the assumption of knowing everything, which can lead to one's downfall."
ZeroShot,GPT,Nígbàtí à ńto ọkà a ò to ti ẹmọ́ si.,When we were stacking the corn we did not stack some for the brown rat.,"The Yoruba proverb ""Nígbàtí à ńto ọkà a ò to ti ẹmọ́ si"" translates to ""When we are arranging the corn, we do not arrange the chaff with it"" in English. This proverb suggests the importance of focusing on what is valuable and separating it from what is not."
ZeroShot,GPT,"Àbúrò rẹ ńdáṣọ fún ọ, o ní o ò lo elékuru; ta ní ńlo alákàrà?","Your junior brother (or sister) buys clothing for you, and you say you will not wear anything with bean-grits patterns; who has the right to opt for clothing with a bean-fritter patterns?","The Yoruba proverb ""Àbúrò rẹ ńdáṣọ fún ọ, o ní o ò lo elékuru; ta ní ńlo alákàrà?"" can be translated into English as: ""Your younger sibling is sewing clothes for you, and you say you don't wear rags; who then wears bean cakes?"" 

This proverb highlights the idea of rejecting something valuable or beneficial due to a misunderstanding or undervaluation of its worth."
ZeroShot,GPT,"Bí kò sí tọ̀bùn èèyàn, ta ni ìbá jí lówùúrọ̀ tí kò bọ́jú ṣáṣá?","But for a person of filthy habits, who would wake in the morning and not wash his or her face clean?","The Yoruba proverb ""Bí kò sí tọ̀bùn èèyàn, ta ni ìbá jí lówùúrọ̀ tí kò bọ́jú ṣáṣá?"" can be translated into English as: ""If there were no good people, who would wake up in the morning without covering their face in shame?"" This proverb emphasizes the importance of having good people in society, as they contribute to a sense of pride and integrity."
ZeroShot,GPT,Àpọ́nlé ni “İyá-a Káà”; ìyá kan ò sí ní káà tí kò lórúkọ.,Calling a person “Mother of the Compound” is only a mark of respect; there is no mother in the compound who does not have a name.,"The Yoruba proverb ""Àpọ́nlé ni “İyá-a Káà”; ìyá kan ò sí ní káà tí kò lórúkọ."" translates to English as: ""Respect is given to 'Mother of the Town'; there is no mother in the town without a name."" This proverb emphasizes the importance of respect and recognition, suggesting that everyone has their own identity and deserves acknowledgment."
ZeroShot,GPT,"Bí iná bá dun ọbẹ̀, a dá ọ̀rọ̀ sọ.","If the fire gets at the stew, the stew will burst into speech.","The Yoruba proverb ""Bí iná bá dun ọbẹ̀, a dá ọ̀rọ̀ sọ"" translates to ""When the stew is delicious, we find something to talk about"" in English. This proverb suggests that when things are going well or are enjoyable, people are more inclined to engage in conversation or share stories."
ZeroShot,GPT,Àṣejù baba àṣetẹ́; ẹ̀tẹ́ ní ńgbẹ̀hìn àṣejù; àgbàlagbà tó wẹ̀wù àṣejù ẹ̀tẹ́ ni yó fi rí.,Lack of moderation is the father of disgrace; disgrace comes of immoderation; a grown person who clothes himself in immoderation will find disgrace.,"The Yoruba proverb translates to English as: ""Excess is the father of inadequacy; inadequacy is the end result of excess; an elder who wears the garment of excess will end up with inadequacy."""
ZeroShot,GPT,Ọjọ́ kan ṣoṣo là ńtẹ́; ojoojúmọ́ lojú ńtini.,It takes one day only for one to disgrace oneself; the shame is a daily affair.,"The Yoruba proverb ""Ọjọ́ kan ṣoṣo là ńtẹ́; ojoojúmọ́ lojú ńtini"" translates to English as ""We only have to pound yam once; every day the eyes face challenges."" This proverb suggests that while some tasks are occasional, life presents daily challenges that must be faced regularly."
ZeroShot,GPT,A kì í dákẹ́ ká ṣìwí; a kì í wò sùn-ùn ká dáràn.,One does not keep quiet and yet misspeak; one does not silently contemplate the world and yet get into trouble.,"The Yoruba proverb ""A kì í dákẹ́ ká ṣìwí; a kì í wò sùn-ùn ká dáràn"" can be translated into English as: ""One does not keep silent and still speak; one does not watch and still commit a crime."" This proverb emphasizes the idea that certain actions or states are mutually exclusive, highlighting the importance of consistency between one's actions and intentions."
ZeroShot,GPT,"Ṣe bóo ti mọ, ẹlẹ́wàa Ṣàpọ́n.","Moderate your preening and strutting, beautiful woman of Ṣàpọ́n.","The Yoruba proverb ""Ṣe bóo ti mọ, ẹlẹ́wàa Ṣàpọ́n"" can be translated into English as ""As you know, the bean seller at Ṣàpón."" This proverb is often used to imply that something is common knowledge or that a situation is well understood by everyone involved."
ZeroShot,GPT,Gbogbo èèyàn ní ńsunkún-un Bánjọ; ṣùgbọ́n Bánjọ ò sunkún ara ẹ̀.,"Everybody laments Banjọ's fate, but Banjọ does not lament his own fate.","The Yoruba proverb ""Gbogbo èèyàn ní ńsunkún-un Bánjọ; ṣùgbóṇ Bánjọ ò sunkún ara ẹ̀"" translates to English as ""Everyone cries for Bánjọ, but Bánjọ does not cry for himself."" This proverb suggests that while others may feel sympathy or concern for someone, that person may not feel the same level of concern for their own situation."
ZeroShot,GPT,Idà ahun la fi ńpa ahun.,It is with its own sword that one kills the tortoise.,"The Yoruba proverb ""Idà ahun la fi ńpa ahun"" translates to ""It is with the sword of a miser that a miser is killed"" in English. This proverb suggests that the traits or actions of a person can lead to their own downfall, particularly when they are negative or harmful."
ZeroShot,GPT,Oúnjẹ ọmọ kékeré a máa wọ àgbà nínú; òrùka ọmọ kékeré ni kì í wọ ágbá lọ́wọ́.,A youth's food can enter the stomach of an elder; it is only a youth's ring that cannot slip unto an elder's finger.,"The Yoruba proverb ""Oúnjẹ ọmọ kékeré a máa wọ àgbà nínú; òrùka ọmọ kékeré ni kì í wọ ágbá lọ́wọ́"" translates to English as: ""The food of a small child can enter an elder's stomach; but a small child's ring cannot fit an elder's finger."" This proverb suggests that while some things meant for the young can be suitable for the old, not everything is interchangeable between generations."
ZeroShot,GPT,“Ẹ fà á wọlé” ló yẹ ẹlẹ́ṣin.,“Lead it into the stable” is what becomes a horseman.,"The Yoruba proverb ""“Ẹ fà á wọlé” ló yẹ ẹlẹ́ṣin"" translates to ""‘Pull it inside’ is appropriate for the horse rider"" in English. This proverb suggests that those in control or in a position of responsibility should take charge and manage situations effectively."
